id,lat,lon,f_value
1,13.019042,77.557376,2
2,13.01905,77.557347,4
3,13.019078,77.557289,4
4,13.019092,77.557192,4
5,13.019238,77.556928,4
6,13.0193,77.556869,5
7,13.019372,77.556685,4
8,13.019413,77.556575,4
9,13.019577,77.556274,3
10,13.019563,77.556262,5
11,13.019596,77.556136,5
12,13.019684,77.555987,5
13,13.019698,77.555949,3
14,13.019714,77.555937,5
15,13.019959,77.555467,4
16,13.020136,77.555323,5
17,13.019865,77.555914,5
18,13.019701,77.556233,2
19,13.019377,77.556675,3
20,13.019323,77.556718,2
21,13.019298,77.556835,5
22,13.01928,77.55691,3
23,13.019039,77.557297,4
24,13.019537,77.556389,5
